#,Auto ID,County,District,Central site,Referral sites,Site Code,Distance* (KM),Type,On Treatment,On Care,Load,Total Equipment
233,233,Kilifi,Bahari,      Kilifi District Hospital,Vitengeni Dispensary,11883,89,MoH,158,178,336,0
234,234,Mombasa,Changamwe,Port Reitz District Hospital,,11740,0,MoH,2119,5756,7875,2
235,235,Mombasa,Changamwe,      Port Reitz District Hospital,CDC Ganjoni Dispensary,11273,4,LA,168,726,894,0
236,236,Mombasa,Changamwe,      Port Reitz District Hospital,Chaani (MCM) Dispensary,11274,4.1,MoH,77,561,638,0
237,237,Mombasa,Changamwe,      Port Reitz District Hospital,Kenya Ports Authority,11461,9.4,PAR,491,993,1484,1
238,238,Mombasa,Changamwe,      Port Reitz District Hospital,Likoni Sub District Hospital,11522,19.3,MoH,633,3384,4017,0
239,239,Mombasa,Changamwe,      Port Reitz District Hospital,Magongo Health Centre,11538,4.2,MoH,456,1921,2377,0
240,240,Mombasa,Changamwe,      Port Reitz District Hospital,Mikindani Catholic Dispensary,11614,7.9,FBO,926,2756,3682,1
241,241,Kwale,Matuga,Kwale Sub-District Hospital,,11507,0,MoH,0,1411,1411,2
242,242,Kwale,Matuga,      Kwale Sub-District Hospital,Kibuyuni Dispensary,11466,42.7,MoH,1,6,7,0
243,243,Kwale,Matuga,      Kwale Sub-District Hospital,Kizibe Dispensary,11495,25.2,MoH,12,36,48,0
244,244,Kwale,Matuga,      Kwale Sub-District Hospital,Lukore Dispensary,11525,43.2,MoH,0,0,0,0
245,245,Kwale,Matuga,      Kwale Sub-District Hospital,Magodzoni Dispensary,11537,13,MoH,34,221,255,0
246,246,Kwale,Matuga,      Kwale Sub-District Hospital,Mazumalume Dispensary,11587,15.3,MoH,0,0,0,0
247,247,Kwale,Matuga,      Kwale Sub-District Hospital,Mkongani Dispensary,11629,47.3,MoH,41,107,148,0
248,248,Kwale,Matuga,      Kwale Sub-District Hospital,Mwapala Dispensary,11693,34.2,MoH,0,0,0,0
249,249,Kwale,Matuga,      Kwale Sub-District Hospital,Ng'ombeni Dispensary,11714,25.6,MoH,45,120,165,0
250,250,Kwale,Matuga,      Kwale Sub-District Hospital,Shimba Hills Health Centre,11787,75,MoH,74,168,242,0
251,251,Kwale,Matuga,      Kwale Sub-District Hospital,Tiwi RHTC,11853,17.5,MoH,239,972,1211,0
252,252,Kwale,Kinango,      Kwale Sub-District Hospital,Kinango District Hospital,16518,26,MoH,447,1699,2146,0
253,253,Kwale,Kinango,      Kwale Sub-District Hospital,Lutsangani Dispensary,11527,17.4,MoH,15,127,142,0
254,254,Kwale,Kinango,      Kwale Sub-District Hospital,Mazeras Dispensary,11585,42.8,MoH,0,531,531,0
255,255,Kwale,Kinango,      Kwale Sub-District Hospital,Samburu Health Centre,11768,91.7,MoH,150,647,797,0
256,256,Kwale,Kinango,      Kwale Sub-District Hospital,Taru Dispensary,11838,27,MoH,48,263,311,0
257,257,Kilifi,Malindi,      Malindi District Hospital,Adu Dispensary,11198,50,MoH,54,130,184,0
258,258,Kilifi,Malindi,      Malindi District Hospital,Garashi Dispensary,11384,30,MoH,43,76,119,0
259,259,Kilifi,Malindi,      Malindi District Hospital,Gede Health Centre,11387,12,MoH,507,1192,1699,0
260,260,Kilifi,Malindi,      Malindi District Hospital,Gongoni Health Centre,11401,23,MoH,301,858,1159,0
261,261,Kilifi,Malindi,      Malindi District Hospital,Malanga (AIC) Dispensary,11553,93.6,FBO,808,198,1006,0
262,262,Kilifi,Malindi,      Malindi District Hospital,Mambrui Dispensary,11559,15,MoH,32,242,274,0
263,263,Kilifi,Malindi,      Malindi District Hospital,Marafa Health Centre,11562,48.8,MoH,105,192,297,0
264,264,Kilifi,Malindi,      Malindi District Hospital,Marereni Dispensary,11563,43,MoH,114,325,439,0
265,265,Tana River,Tana Delta,      Malindi District Hospital,Garsen Health Centre,11385,111,MoH,197,261,458,0
266,266,Tana River,Tana Delta,      Malindi District Hospital,Kipini Health Centre,11484,173,MoH,348,146,494,0
267,267,Tana River,Tana Delta,      Malindi District Hospital,Mnazini Dispensary,11637,149,MoH,0,40,40,0
268,268,Tana River,Tana Delta,      Malindi District Hospital,Ngao District Hospital,11711,113,MoH,79,293,372,0
269,269,Tana River,Tana Delta,      Malindi District Hospital,Oda Dispensary,11725,113,MoH,0,0,0,0
270,270,Tana River,Tana Delta,      Malindi District Hospital,Bura Health Centre,11264,215,MoH,10,190,200,0
271,271,Tana River,Tana Delta,      Malindi District Hospital,Madogo Health Centre,11533,342,MoH,109,104,213,0
272,272,Lamu,Lamu West,      Malindi District Hospital,Lamu District Hospital,11512,250,MoH,134,823,957,2
273,273,Lamu,Lamu West,      Malindi District Hospital,Mokowe Health Centre,11642,214,MoH,10,81,91,0
274,274,Lamu,Lamu West,      Malindi District Hospital,Mpeketoni Sub District Hospital,11649,186,MoH,213,695,908,0
275,275,Lamu,Lamu West,      Malindi District Hospital,Witu Health Centre,11907,151,MoH,101,320,421,0
276,276,Mombasa,Mvita,Mewa Hospital,,11600,0,FBO,577,1200,1777,0
277,277,Kilifi,Kaloleni,      Mewa Hospital,Giriama Dispensary,11392,2,FBO,48,93,141,0
278,278,Mombasa,Changamwe,      Mewa Hospital,Likoni Catholic Medical Clinic,11520,2,FBO,580,976,1556,0
279,279,Kilifi,Kaloleni,      Mewa Hospital,St. Lukes Hospital,11818,2,FBO,857,1936,2793,0
280,280,Kilifi,Kaloleni,      Mewa Hospital,St Lukes Hospi(JIBANA),11818,0,FBO,0,0,0,0
281,281,Kilifi,Kaloleni,      Mewa Hospital,St Lukes Hospi(MAKANZANI),11818,0,FBO,0,0,0,0
282,282,Mombasa,Changamwe,Bomu Medical Centre,,11259,0,,3149,6543,9692,1
283,283,Kwale,Msambweni,      Bomu Medical Centre,Msambweni District Hospital,11655,48,MoH,432,2848,3280,0
284,284,Kwale,Msambweni,      Bomu Medical Centre,Diani Dispensary,12916,45,MoH,375,1372,1747,0
285,285,Kwale,Msambweni,      Bomu Medical Centre,Kikoneni Health Centre,11472,20,MoH,165,515,680,0
286,286,Kwale,Msambweni,      Bomu Medical Centre,Lunga Lunga Dispensary,11526,114,MoH,518,759,1277,0
287,287,Kwale,Msambweni,      Bomu Medical Centre,Majoreni Dispensary,11544,85.3,MoH,0,0,0,0
288,288,Kwale,Msambweni,      Bomu Medical Centre,Mamba Dispensary (MSAMBWENI),11558,78.5,MoH,0,0,0,0
289,289,Kwale,Msambweni,      Bomu Medical Centre,Mbuwani Dispensary,11593,114,MoH,0,0,0,0
290,290,Kwale,Msambweni,      Bomu Medical Centre,Muhaka Dispensary,11676,36.3,MoH,16,188,204,0
291,291,Kwale,Msambweni,      Bomu Medical Centre,Vanga Health Centre,11879,101,MoH,0,0,0,0
292,292,Taita Taveta,Taveta,Moi Voi District Hosiptal,,11641,0,MoH,618,2582,3200,2
293,293,Taita Taveta,Taveta,      Moi Voi District Hosiptal,Kasigau RDCH,11455,74.9,MoH,26,109,135,0
294,294,Taita Taveta,Taveta,      Moi Voi District Hosiptal,Mpinzinyi Health Centre,11650,59,MoH,0,0,0,0
295,295,Taita Taveta,Taveta,      Moi Voi District Hosiptal,Mwatate Sub-District Hospital,11695,24.5,MoH,240,665,905,0
296,296,Taita Taveta,Taveta,      Moi Voi District Hosiptal,Sagala Health Centre,11764,25.9,MoH,49,91,140,0
297,297,Taita Taveta,Taveta,      Moi Voi District Hosiptal,St Joseph's Shelter Of Hope,11817,1,FBO,500,929,1429,1
298,298,Taita Taveta,Taveta,      Moi Voi District Hosiptal,Tausa Health Centre,11839,17.3,MoH,0,0,0,0
299,299,Taita Taveta,Taveta,      Moi Voi District Hosiptal,Wesu District Hospital,11906,40,MoH,303,648,951,2
300,300,Taita Taveta,Taveta,      Moi Voi District Hosiptal,Mbale Health Centre,11589,40.8,MoH,32,98,130,0
301,301,Taita Taveta,Taveta,      Moi Voi District Hosiptal,Nyache Health Centre,11720,31.8,MoH,104,74,178,0
302,302,Taita Taveta,Taveta,      Moi Voi District Hosiptal,Wundanyi Health Centre,11908,40,MoH,120,457,577,0
303,303,Taita Taveta,Taveta,Taveta District Hospital,,11840,0,MoH,501,1630,2131,1
304,304,Embu,Embu West,Embu Provincial General Hospital,,12004,0,MoH,1678,3960,5638,2
305,305,Embu,Embu West,      Embu Provincial General Hospital,Gikuuri Dispensary (CDF),16853,19,FBO,0,0,0,0
306,306,Embu,Embu West,      Embu Provincial General Hospital,Karau Health Centre (Manyatta),12198,19,MoH,76,150,226,0
307,307,Embu,Embu West,      Embu Provincial General Hospital,Karurumo Rural Health Training Centre,12203,31,MoH,602,458,1060,0
308,308,Embu,Embu West,      Embu Provincial General Hospital,Kasafari Dispensary (CDF),16855,28.6,MoH,0,0,0,0
309,309,Embu,Embu West,      Embu Provincial General Hospital,Kaathari Dispensary (CDF),16854,23.2,MoH,0,0,0,0
310,310,Embu,Embu West,      Embu Provincial General Hospital,Kianjokoma sub District Hospital,12279,19,MoH,262,509,771,0
311,311,Embu,Embu West,      Embu Provincial General Hospital,Kibugu Health Centre,12287,12,MoH,136,291,427,0
312,312,Embu,Embu West,      Embu Provincial General Hospital,Liverpool VCT Embu,12430,1,NGO,0,0,0,0
313,313,Embu,Embu West,      Embu Provincial General Hospital,Nembure Health Centre,12642,14,MoH,170,500,670,0
314,314,Embu,Embu West,      Embu Provincial General Hospital,Nyagari Dispensary (CDF),16856,28,MoH,0,0,0,0
315,315,Embu,Embu West,      Embu Provincial General Hospital,Runyenjes District Hospital,12719,24,MoH,581,1194,1775,0
316,316,Embu,Mbeere North,      Embu Provincial General Hospital,Mbeere District Hopsital,16467,36,MoH,389,1085,1474,2
317,317,Embu,Mbeere North,      Embu Provincial General Hospital,Ishiara Sub-District Hospital,16464,43.9,MoH,480,871,1351,2
318,318,Embu,Mbeere North,      Embu Provincial General Hospital,Kiamuringa Dispensary,12274,20,MoH,22,43,65,0
319,319,Embu,Mbeere North,      Embu Provincial General Hospital,Kiritiri Health Centre,16466,30,MoH,508,769,1277,0
320,320,Meru,Igembe South,Maua Methodist Mission Hospital,,12492,0,FBO,1965,3085,5050,1
321,321,Meru,Imenti South,Consolata Nkubu Hospital- Dream Kyeni,,11976,0,FBO,1556,2050,3606,0
322,322,Embu,Embu West,      Consolata Nkubu Hospital- Dream Kyeni,Consolata Hospital Kyeni,12413,56.8,FBO,631,910,1541,0
323,323,Embu,Embu West,      Consolata Nkubu Hospital- Dream Kyeni,Community of St.Egidio - VCT Kyeni,0,0,FBO,0,0,0,0
324,324,Meru,Imenti North,      Consolata Nkubu Hospital- Dream Kyeni,Cottolengo Mission Hospital,11977,7.4,FBO,363,762,1125,0
325,325,Meru,Imenti North,      Consolata Nkubu Hospital- Dream Kyeni,Kirigara (MCK) Dispensary,16840,7.7,FBO,0,0,0,0
326,326,Meru,Imenti North,      Consolata Nkubu Hospital- Dream Kyeni,Nkuene (ACK) Dispensary,16841,14.5,FBO,0,0,0,0
327,327,Meru,Imenti North,      Consolata Nkubu Hospital- Dream Kyeni,Ruiga (MCK) Dispensary,16839,9.7,FBO,0,0,0,0
328,328,Meru,Imenti North,      Consolata Nkubu Hospital- Dream Kyeni,St. Therese Kiirua Mission Hospital,12303,16.1,FBO,374,744,1118,0
329,329,Meru,Tigania East,      Consolata Nkubu Hospital- Dream Kyeni,Tigania Mission Hospital,12799,31,FBO,0,0,0,0
330,330,Meru,Meru Central,Meru Central District Hospital,,12516,0,MoH,3373,5995,9368,2
331,331,Tharaka Nithi,Meru South,      Meru Central District Hospital,Family Health Options,0,16,MoH,0,0,0,0
332,332,Tharaka Nithi,Meru South,      Meru Central District Hospital,Meru GK Dispensary,12049,2,MoH,81,276,357,0
333,333,Meru,Igembe South,      Meru Central District Hospital,Nyambene District Hospital,12684,44.1,MoH,1039,3321,4360,3
334,334,Meru,Imenti North,      Meru Central District Hospital,Githongo District Hospital,12041,12,MoH,235,493,728,2
335,335,Meru,Imenti North,      Meru Central District Hospital,Njuthine Dispensary,16835,23.5,MoH,0,0,0,0
336,336,Meru,Imenti North,      Meru Central District Hospital,Giaki Health Centre,12036,21,MoH,137,236,373,0
337,337,Meru,Imenti North,      Meru Central District Hospital,Ruiri Rural Health Demonstration Centre,12717,13,MoH,65,157,222,0
338,338,Meru,Imenti North,      Meru Central District Hospital,Timau Sub- District Hospital,12802,52,MoH,206,378,584,0
339,339,Meru,Imenti South,      Meru Central District Hospital,Kanyakine District Hospital,12181,23,MoH,452,1378,1830,0
340,340,Meru,Imenti South,      Meru Central District Hospital,Mikumbune SDH,12526,22,MoH,229,739,968,0
341,341,Tharaka Nithi,Maara,      Meru Central District Hospital,Magutuni District Hospital,12445,44.6,MoH,142,312,454,0
342,342,Tharaka Nithi,Maara,      Meru Central District Hospital,Muthambi Health Centre,12589,46.3,MoH,168,479,647,0
343,343,Meru,Tigania East,      Meru Central District Hospital,Miathene District Hospital,16234,26,MoH,490,1032,1522,0
344,344,Isiolo,Isiolo,Isiolo District Hospital,,12094,0,MoH,774,3559,4333,0
345,345,Isiolo,Garbatula,      Isiolo District Hospital,Badana Dispensary,16477,115,MoH,0,0,0,0
346,346,Isiolo,Garbatula,      Isiolo District Hospital,Garbatulla District Hospital,12029,113,MoH,23,9,32,0
347,347,Isiolo,Garbatula,      Isiolo District Hospital,Kinna Health Centre,12323,97.4,MoH,0,0,0,0
348,348,Isiolo,Garbatula,      Isiolo District Hospital,Muchuro Dispensary,16476,115,MoH,0,0,0,0
349,349,Isiolo,Garbatula,      Isiolo District Hospital,Sericho Health Centre,12729,241,MoH,2,13,15,0
350,350,Isiolo,Isiolo,      Isiolo District Hospital,Merti Health Centre,12514,80,MoH,32,59,91,0
351,351,Isiolo,Isiolo,      Isiolo District Hospital,Isiolo Samburu Complex,12727,37,MoH,0,0,0,0
352,352,Machakos,Kangundo,Kangundo District Hospital,,12177,0,MoH,1901,3780,5681,0
353,353,Machakos,Kangundo,      Kangundo District Hospital,Donyo Sabuk Health Center,16432,36,MoH,105,249,354,0
354,354,Machakos,Kangundo,      Kangundo District Hospital,Kakuyuni Health Centre,16433,11,MoH,0,0,0,0
355,355,Machakos,Kangundo,      Kangundo District Hospital,Kituluni Dispensary,16437,51.3,MoH,0,0,0,0
356,356,Machakos,Kangundo,      Kangundo District Hospital,Matungulu Health Center,16439,10,MoH,147,228,375,0
357,357,Machakos,Kangundo,      Kangundo District Hospital,Mukunike Dispensary,16435,7.3,MoH,4,3,7,0
358,358,Machakos,Kangundo,      Kangundo District Hospital,Nguluni Health Center,12657,10,MoH,211,402,613,0
359,359,Machakos,Mwala,      Kangundo District Hospital,Mwala District Hospital,12618,20,MoH,454,969,1423,2
360,360,Machakos,Mwala,      Kangundo District Hospital,Ikalaasa Dispensary,16649,59.4,MoH,0,0,0,0
361,361,Machakos,Mwala,      Kangundo District Hospital,Kilembwa Dispensary,12311,45,MoH,0,0,0,0
362,362,Machakos,Mwala,      Kangundo District Hospital,Masii Health Center,12475,34.4,MoH,716,1416,2132,0
363,363,Machakos,Mwala,      Kangundo District Hospital,Mathima Dispensary,12482,30,MoH,83,125,208,0
364,364,Machakos,Mwala,      Kangundo District Hospital,Muthetheni Health Center,12593,44.5,MoH,283,526,809,0
365,365,Machakos,Mwala,      Kangundo District Hospital,Yathui Dispensary,16652,34.7,MoH,0,0,0,0
366,366,Kitui,Kitui Central,Kitui District Hospital,,12366,0,MoH,3683,6706,10389,1
367,367,Kitui,Kitui Central,      Kitui District Hospital,Kanyangi Sub-District Hospital,12184,70,MoH,6,3,9,0
368,368,Kitui,Kitui Central,      Kitui District Hospital,Kauwi Sub District Hospital,12255,26,MoH,583,1153,1736,0
369,369,Kitui,Kitui Central,      Kitui District Hospital,Kwa Mulungu Dispensary,12393,21.3,MoH,2,9,11,0
370,370,Kitui,Kitui Central,      Kitui District Hospital,Kwa vonza Dispensary,12396,27,MoH,120,244,364,0
371,371,Kitui,Kitui Central,      Kitui District Hospital,Mbitini Health Centre,20101,45,MoH,360,636,996,1
372,372,Kitui,Kitui Central,      Kitui District Hospital,Muthale Mission Hospital,12587,43.9,FBO,400,620,1020,0
373,373,Kitui,Kitui Central,      Kitui District Hospital,Mutitu Sub District Hospital,12601,76.5,MoH,287,576,863,1
374,374,Kitui,Kitui Central,      Kitui District Hospital,Tiva Dispensary,12803,16.4,MoH,1,2,3,0
375,375,Kitui,Kitui Central,      Kitui District Hospital,Yatta Health Centre,12853,29,MoH,2,2,4,0
376,376,Kitui,Mutomo,      Kitui District Hospital,Ikanga Sub District Hospital,12077,49.6,MoH,328,633,961,0
377,377,Kitui,Mutomo,      Kitui District Hospital,Ikutha Health Centre,12080,121,MoH,244,499,743,0
378,378,Machakos,Yatta,      Kitui District Hospital,Matuu Sub District Hospital,12488,66,MoH,88,126,214,1
379,379,Machakos,Yatta,      Kitui District Hospital,Katangi Health Center,12215,45,MoH,338,527,865,0
380,380,Machakos,Yatta,      Kitui District Hospital,Masinga Health Centre,12476,79.8,MoH,282,339,621,1
381,381,Makueni,Kibwezi,Makindu District Hospital,,12455,0,MoH,2383,4524,6907,0
382,382,Makueni,Kibwezi,      Makindu District Hospital,Kaiani (ABC) Dispensary,12126,157,MoH,0,0,0,0
383,383,Makueni,Kibwezi,      Makindu District Hospital,Kibwezi Sub District Hospital,12291,24,MoH,215,1942,2157,1
384,384,Makueni,Kibwezi,      Makindu District Hospital,Mtito Andei Health Center,12547,61,MoH,726,1352,2078,1
385,385,Makueni,Kibwezi,      Makindu District Hospital,Nzoila Dispensary,12694,25,MoH,0,0,0,0
386,386,Tharaka Nithi,Maara,Chogoria (PCEA) Hospital,,11970,0,FBO,0,59,59,0
387,387,Tharaka Nithi,Maara,      Chogoria (PCEA) Hospital,PCEA Chogoria H(KIANGONDU),11970,0,FBO,0,0,0,0
388,388,Tharaka Nithi,Maara,      Chogoria (PCEA) Hospital,PCEA Chogoria H(KIROGINE),11970,0,FBO,0,0,0,0
389,389,Tharaka Nithi,Maara,      Chogoria (PCEA) Hospital,PCEA Chogoria H(ST. ANNS),11970,0,FBO,0,0,0,0
390,390,Tharaka Nithi,Maara,      Chogoria (PCEA) Hospital,Magutuni District Hospital,12445,14.5,MoH,,,0,0
391,391,Tharaka Nithi,Maara,      Chogoria (PCEA) Hospital,Muthambi Health Centre,12589,8.5,MoH,,,0,0
392,392,Machakos,Machakos,Machakos Level 5 Hospital,,12438,0,MoH,6012,2846,8858,15
393,393,Machakos,Machakos,      Machakos Level 5 Hospital,Athi River Health Centre,11936,37.6,MoH,762,606,1368,1
394,394,Machakos,Machakos,      Machakos Level 5 Hospital,Kathiani District Hospital,12230,28,MoH,779,557,1336,2
395,395,Machakos,Machakos,      Machakos Level 5 Hospital,Kaviani Health Center,12257,10,MoH,162,135,297,1
396,396,Machakos,Machakos,      Machakos Level 5 Hospital,Mitaboni Health Center,12530,17,MoH,266,270,536,0
397,397,Machakos,Machakos,      Machakos Level 5 Hospital,Mutitu Dispensary,12600,8,MoH,78,108,186,0
398,398,Machakos,Machakos,      Machakos Level 5 Hospital,Thinu Health Center,12796,15,MoH,12,30,42,0
399,399,Makueni,Mbooni East,      Machakos Level 5 Hospital,Kisau Health Center,12341,28,MoH,334,267,601,0
400,400,Makueni,Mbooni East,      Machakos Level 5 Hospital,Mbooni Sub District Hospital,12508,40,MoH,505,498,1003,0
401,401,Makueni,Mbooni East,      Machakos Level 5 Hospital,Tawa Sub-District Hospital,12787,32,MoH,337,287,624,1
402,402,Makueni,Nzaui,      Machakos Level 5 Hospital,Kavuthu Health Centre,12263,77.6,MoH,0,0,0,0
403,403,Makueni,Nzaui,      Machakos Level 5 Hospital,Kikumini Health Centre,12308,101,MoH,0,0,0,0
404,404,Makueni,Nzaui,      Machakos Level 5 Hospital,Masumba Dispensary,12478,106,MoH,0,0,0,0
405,405,Makueni,Nzaui,      Machakos Level 5 Hospital,Matiliiku District Hospital,12485,39,MoH,240,281,521,1
406,406,Makueni,Nzaui,      Machakos Level 5 Hospital,Mbenuu Health Centre,12499,80.7,MoH,8,8,16,0
407,407,Makueni,Nzaui,      Machakos Level 5 Hospital,Mutiluni Dispensary,12596,50.9,MoH,0,0,0,0
408,408,Makueni,Nzaui,      Machakos Level 5 Hospital,Mutyambua Dispensary,12610,77.6,MoH,0,0,0,0
409,409,Makueni,Nzaui,      Machakos Level 5 Hospital,Mwanyani Dispensary,12622,47.7,MoH,0,0,0,0
410,410,Makueni,Nzaui,      Machakos Level 5 Hospital,Sultan Hamud Health Centre,12777,71,MoH,0,0,0,0
411,411,Makueni,Makueni,Makueni District Hospital,,12457,0,MoH,1377,3188,4565,2
412,412,Makueni,Makueni,      Makueni District Hospital,Kathonzweni Health Center,12236,22,MoH,314,543,857,0
413,413,Makueni,Makueni,      Makueni District Hospital,Kilungu Sub-District Hospital,12314,32.3,MoH,280,574,854,0
414,414,Makueni,Makueni,      Makueni District Hospital,Kitise Health Centre,12365,49.3,MoH,189,268,457,0
415,415,Makueni,Makueni,      Makueni District Hospital,Mukuyuni Health Centre,12565,94.6,MoH,170,514,684,0
416,416,Makueni,Makueni,Kathozweni Catholic Dispensary,,12235,0,FBO,46,46,92,1
417,417,Makueni,Nzaui,      Kathonzweni Catholic Dispensary,Kalamba (AIC) Dispensary,12145,54.1,FBO,54,4,58,0
418,418,Makueni,Nzaui,      Kathonzweni Catholic Dispensary,Kasikeu Catholic Dispensary,12207,101,FBO,0,0,0,0
419,419,Makueni,Nzaui,      Kathonzweni Catholic Dispensary,Mukaa (AIC) Dispensary,12558,78.3,FBO,0,0,0,0
420,420,Makueni,Makueni,Kiboko Mission Hospital,,19349,0,FBO,0,0,0,2
421,421,Marsabit,Marsabit,Tumaini Health Centre,,16204,0,FBO,0,0,0,0
422,422,Marsabit,Marsabit,Tumaini Medical Clinic,Marsabit District Hospital,12472,1,MoH,143,227,370,2
423,423,Marsabit,Marsabit,Tumaini Medical Clinic,,16204,0,FBO,233,430,663,0
424,424,Marsabit,Loyangalani,      Tumaini Health Centre,Gatab Health Centre,12030,260,MoH,18,18,36,0
425,425,Marsabit,Loyangalani,      Tumaini Health Centre,Laisamis Mission Hospital,16215,97,FBO,28,43,71,0
426,426,Marsabit,Loyangalani,      Tumaini Health Centre,Loiyangani MH,12433,253,FBO,52,11,63,0
427,427,Marsabit,Marsabit North,      Tumaini Health Centre,Bubisa Dispensary,11956,40,MoH,0,0,0,0
428,428,Marsabit,Marsabit North,Tumaini Medical Clinic,Maikona Dispensary,12446,91.4,FBO,16,15,31,0
429,429,Marsabit,Marsabit North,      Tumaini Health Centre,North Horr Health Center,12668,181,FBO,26,24,50,0
430,430,Tharaka Nithi,Meru South,Chuka District Hospital,,11973,0,MoH,648,1728,2376,1
431,431,Tharaka Nithi,Meru South,      Chuka District Hospital,Consolata Mission Chuka,0,0,FBO,849,0,849,1
432,432,Tharaka Nithi,Meru South,      Chuka District Hospital,Kajuki Dispensary,12132,62.2,MoH,21,70,91,0
433,433,Tharaka Nithi,Meru South,      Chuka District Hospital,Kibugua,12288,8,MoH,149,277,426,0
434,434,Tharaka Nithi,Meru South,      Chuka District Hospital,Mpukoni Health Centre,12546,9,MoH,62,134,196,0
435,435,Marsabit,Moyale,Moyale District Hospital,,12544,0,MoH,457,1216,1673,2
436,436,Marsabit,Moyale,      Moyale District Hospital,Sololo Mission Hospital,12739,82,MoH,134,202,336,0
437,437,Kitui,Mutomo,Mutomo Mission Hospital,,12604,0,FBO,1432,2236,3668,0
438,438,Kitui,Mutomo,      Mutomo Mission Hospital,Mutomo(Athi),12604,0,FBO,182,229,411,0
439,439,Kitui,Mutomo,      Mutomo Mission Hospital,Mutomo(Kamutei),12604,0,FBO,0,0,0,0
440,440,Kitui,Mutomo,      Mutomo Mission Hospital,Mutomo(Kanziko),12604,0,FBO,0,0,0,0
441,441,Kitui,Mutomo,      Mutomo Mission Hospital,Mutomo(Mathima),12604,0,FBO,0,0,0,0
442,442,Kitui,Mutomo,      Mutomo Mission Hospital,Mutomo(Mutha),12604,0,FBO,0,0,0,0
443,443,Kitui,Mutomo,      Mutomo Mission Hospital,Ikanga Sub District Hospital,12077,22.3,MoH,,,0,0
444,444,Kitui,Mutomo,      Mutomo Mission Hospital,Ikutha Health Centre,12080,27.5,MoH,,,0,0
445,445,Kitui,Mwingi Central,Mwingi District Hospital,,12626,0,MoH,1011,4122,5133,3
446,446,Kitui,Kyuso,      Mwingi District Hospital,Kalatine Dispensary,16862,122,MoH,0,0,0,0
447,447,Kitui,Kyuso,      Mwingi District Hospital,Kandwia Dispensary,16860,40.1,MoH,0,0,0,0
448,448,Kitui,Kyuso,      Mwingi District Hospital,Katse Health Centre,12242,57.3,MoH,150,1,151,0
449,449,Kitui,Kyuso,      Mwingi District Hospital,Kyuso District Hospital,12420,60,MoH,255,609,864,1
450,450,Kitui,Kyuso,      Mwingi District Hospital,Mukonga Dispensary,16863,60,MoH,0,0,0,0
451,451,Kitui,Kyuso,      Mwingi District Hospital,Ngaie Dispensary,16861,19.8,MoH,0,0,0,0
452,452,Kitui,Kyuso,      Mwingi District Hospital,Ngomeni Health Centre,12654,56.9,MoH,95,276,371,0
453,453,Kitui,Kyuso,      Mwingi District Hospital,Ngongoni Dispensary (Kyuso),16864,20,MoH,0,0,0,0
454,454,Kitui,Kyuso,      Mwingi District Hospital,Tei Wa Yesu Health Centre,12789,51,FBO,90,270,360,0
455,455,Kitui,Mwingi Central,      Mwingi District Hospital,Itheng'eli Dispensary,16653,18.3,MoH,0,0,0,0
456,456,Kitui,Mwingi Central,      Mwingi District Hospital,Thonzweni Dispensary,16859,29.4,MoH,0,0,0,0
457,457,Kitui,Mwingi Central,      Mwingi District Hospital,Kalanga Dispensary,16654,23.2,MoH,0,0,0,0
458,458,Kitui,Mwingi Central,      Mwingi District Hospital,Kiomo Dispensary,16655,13.7,MoH,0,0,0,0
459,459,Kitui,Mwingi Central,      Mwingi District Hospital,Mathuki Health Center,12483,42,MoH,0,0,0,0
460,460,Kitui,Mwingi Central,      Mwingi District Hospital,Migwani Sub District Hospital,12523,33,MoH,355,837,1192,0
461,461,Kitui,Mwingi Central,      Mwingi District Hospital,Nuu Health Center,12681,59,MoH,22,340,362,0
462,462,Kitui,Mwingi Central,      Mwingi District Hospital,Tseikuru Sub District Hospital,12805,93,MoH,232,454,686,0
463,463,Tharaka Nithi,Tharaka North,St Orsola Mission Hospital- Dream Materi,,12769,0,MoH,0,0,0,0
464,464,Tharaka Nithi,Tharaka North,      St Orsola Mission Hospital- Dream Materi,Gakurungu Dispensary,16738,19.6,MoH,0,0,0,0
465,465,Tharaka Nithi,Tharaka North,      St Orsola Mission Hospital- Dream Materi,Kamaguna Dispensary,16239,87.9,MoH,20,0,20,0
466,466,Tharaka Nithi,Tharaka North,      St Orsola Mission Hospital- Dream Materi,Tharaka Primary Hospital,12795,58.1,MoH,0,0,0,0
467,467,Nairobi,Kamukunji,Eastern Deanary Program,,0,0,FBO,0,0,0,1
468,468,Nairobi,Embakasi,      Eastern Deanary Program,Dandora (EDARP) Clinic,12911,0,FBO,1589,6769,8358,0
469,469,Nairobi,Embakasi,      Eastern Deanary Program,Soweto (EDARP) Clinic,13191,0,FBO,1272,2871,4143,0
470,470,Nairobi,Kasarani,      Eastern Deanary Program,Babadogo (EDARP),12875,0,FBO,1183,3559,4742,0
471,471,Nairobi,Kasarani,      Eastern Deanary Program,EDARP Kariobangi,18743,0,FBO,1546,5617,7163,0
472,472,Nairobi,Starehe,      Eastern Deanary Program,Huruma (EDARP),12973,0,FBO,1295,1736,3031,0
473,473,Nairobi,Langata,      Eastern Deanary Program,EDARP Kibera,0,0,FBO,0,0,0,0
